unstructured_name,rx_norm,type
ivfluid 5% d/s 500mls 6hrly x24hrs plus 5cc b/co in each pint.,"glucose, sodium chloride, vitamin B complex",Drug
aplly benzyl benzoate on the affected part,benzyl benzoate,Drug
"IM EMAL 150MG STAT, THEN ACT 4 BD * 3/7, TAB AMITRYPTILLINE 12.5MG NOCTE, ARTHROTEC 1 BD * 3/7",amitriptyline hydrochloride,Drug
tabs astyfer 1 tds x 2/52,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
aspirin gargle,aspirin,Drug
tab amitryptilline 12.5mg b.dx 5/7,amitriptyline hydrochloride,Drug
nebule salbutamol 2.5mg plus 2.5ml of normal saline 6hrly,"albuterol, sodium chloride",Drug
HEPATITIS B.,hepatitis B surface antigen vaccine,Drug
"Tab camoquin 600mg nocte x 3/7, Tab PCM 1g tds x3/7",amodiaquine hydrochloride,Drug
BROCHICUM 10MLS TDS X1WEEKS,thyme preparation,Drug
tab buscopan 5mg bd x 5/7. tab promethazine 25mg bd x 2/7. tab zinc 20mg dly x 2/52. tab act 20/120mg III bd x 3/7. tab pcm 500mg tds x 3/7. tab fleming 375mg bd x 10/7.,hyoscyamine,Drug
tabs aldomet 250mg tds x 1/52,methyldopa,Drug
4.3% Dextrose in 0.8ml of saline 500mls +3cc Vitamin B complex,"glucose, sodium chloride, vitamin B complex",Drug
torsemide 20mg daily,torsemide,Drug
ORS LIBERALLY + 250ML / VOMITUS,"glucose, potassium chloride, sodium chloride",Drug
penicillin,penicillin V,Drug
Tab Amitryptilline 12.5mg ncote x 3/7,amitriptyline hydrochloride,Drug
tab orphensic 1g tds x 3/7  neurogesic cream,"orphenadrine citrate, acetaminophen",Drug
IV ONDANSETRON 1MG 8HOURLY X24HOURS,ondansetron,Drug
TABS LOSARTAN 10MG DLY X 2/52,losartan,Drug
penicillin g 2.4mU,penicillin V,Drug
iv manitol 250mls over 30mins then 8hrly X 3 doses,mannitol,Drug
meloxicam 5 MG Oral Capsule,meloxicam,Drug
tab lozenges I tds x 5/7 + tab loratadine 10mg bd x 5/7,chlorhexidine hydrochloride,Drug
im vit k 0.5ml daily x 3/7,vitamin K,Drug
clean wound dressing with savlon and cover with sulfratulle and crepe bandage,chlorhexidine,Drug
Tab Vasoprin 75mg dly x 1/12.,aspirin,Drug
TAB SECNIDAZOLE 2 G STAT;,secnidazole,Drug
Tab clindamycin 500mg bd x 10/7,clindamycin,Drug
tabs labetalol 200mg tds,labetalol,Drug
Tab cefixime 200mg bd,cefixime,Drug
benzalkonium chloride 0.001 MG/MG / benzocaine 0.18 MG/MG Oral Gel,benzalkonium chloride / lidocaine hydrochloride,Drug
tabs vasoprin 75mg dly x 30/7,aspirin,Drug
Tabs metformin 1g tds x1/12,metformin,Drug
Tab Amlodipine 10mg dly x 1/12  Tab Vasoprin 75mg dly x /12,aspirin,Drug
ORS\  2 SATCHET,"glucose, potassium chloride, sodium chloride",Drug
HAEMFORCE,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
clean wound with savlon and cover with eusol-soaked gauze,chlorhexidine,Drug
Tab Chloroquine 400mg OD on Day 1 and 2 then 200mg stat on day 3,chloroquine,Drug
tab Levocetrizine 5mg daily x 2/52,levocetirizine,Drug
tab isosorbide dinitrate 20mg bd x 5/7,isosorbide dinitrate,Drug
Syrup Broncholyte 10mls tds - 1/52;,bromhexine,Drug
NEBULIZE 5MG SALBUTAMOL STAT,albuterol,Drug
tab chymoral i tds x 3/7,chymotrypsin,Drug
ors liberally per loose stool,"glucose, potassium chloride, sodium chloride",Drug
Beconase Nasal spray,beclomethasone,Drug
Rabeprazole 20mg INJ216,rabeprazole,Drug
tab buscopan 10mg daily for 5/7,hyoscyamine,Drug
Tabs Natrilix 1.5mg nocte 1/12,indapamide,Drug
tab orphensic II tds x 5/7 +  tab neurovite I bd x 1/52,"orphenadrine citrate, acetaminophen",Drug
tab vasopril 75mg daily X2/52,aspirin,Drug
Tabs Tramadol 50mg TDS x 4/7,tramadol hydrochloride,Drug
liquid paraffin 10mls tds x 1/52,paraffin,Drug
topical dermazine,silver sulfadiazine,Drug
tab levofloxacin 500mg daily x1/52;,levofloxacin,Drug
cream neoskin tds X 1/52,betamethasone /  clotrimazole /  neomycin,Drug
cholesterol diet,cholesterol,Drug
SC MIXTARD INSULIN 30IU A.M,"insulin isophane, human",Drug
TABS ALDOMET 250MG BD X 7/7,methyldopa,Drug
PO Aldomet 1g tid,methyldopa,Drug
ortrivine  2dp b.d,xylometazoline,Drug
tab cytotec 400mg bd x 24 hrs.,misoprostol,Drug
tabs camosunate bd for 3 days,"Artesunate, Amodiaquine",Drug
CANESTINE CREAM NOCTE X5DAYS,clotrimazole,Drug
ivf 5% d/s 500mls + 5cc Bco,"glucose, sodium chloride, vitamin B complex",Drug
Tab Tavanic 500mg dly x 5/7,levofloxacin,Drug
CLOTRIMAZOLE VAGINAL CREAM 35G(MYCOTEN),clotrimazole,Drug
tabs fesolate 200mg b.d x 1/12,ferrous sulfate,Drug
TRIBOTAN CREAM APPLY TO AFFECTED AREAS BD  X2/52,clotrimazole / ichthammol / boric acid / zinc oxide,Drug
On Daonil 10mg bd for 1 month,Glibenclamide,Drug
Tabs Aldomet 500mg tds x 1/12,methyldopa,Drug
spironolactone.,spironolactone,Drug
NEBULIZE WITH 2.5MG AND 250MCG OF IPRATROPIUM BROMIDE,albuterol / ipratropium bromide,Drug
CAPS ZITHROMAX [BRANDED],azithromycin,Drug
0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,enoxaparin,Drug
SYR CEFIXIME 5CC BD X5DAYD,cefixime,Drug
SYRUP BUSCOPAN 2.5MLS TDS X 1/52,hyoscyamine,Drug
"IM EMAL 40mg dly x3/7, then camosunate [25/75] dly x3/7","Artesunate, Amodiaquine",Drug
SC Kenalog 80mg stat (GIVEN ALREADY),triamcinolone,Drug
IVF 5% D/S 500ML +BCO 3ML STAT,"glucose, sodium chloride, vitamin B complex",Drug
susp lactulose 10mls dly x 3/7,lactulose,Drug
tab metformin 500mg tds x 1/12,metformin,Drug
vitamin A propionate,vitamin A palmitate,Drug
IV QUININE 50MG,quinine,Drug
tabs orphensic 2 tabs tds x 5/7  tabs amoxyl 500mg tds x 5/7,"orphenadrine citrate, acetaminophen",Drug
Astymin 10mls bd x1/52;,ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin a / vitamin b12 / vitamin b6 / vitamin e,Drug
tabs renerve plus 1 daily x 20 days,ascorbic acid / biotin / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine / zinc citrate,Drug
IM PENTAZOCINE 15MG STAT + IM PROMETHAZINE 12.5MG 12HRLY FOR 24HOURS,"pentazocine, promethazine",Drug
"syrup p-alaxin 17mls daily * 3/7, syrup pcm 3mls tds * 3/7, syrup fleming 3mls bd * 5/7, syrup piriton 3mls bd * 3/7",".alpha.-dihydroartemisinin
",Drug
tab ferrous sulphate 200mg bd x 1/12,ferrous sulfate,Drug
"lm prometherzine 0.3mls stat, syrup augmentine 2.5mls bd x 1/52, syrup ibuprofen 2.5mls tds x 5/7, camosunate peadiatrics dly x 3/7","Artesunate, Amodiaquine",Drug
rectal anusol 1 bd x 1/52.,zinc sulfate monohydrate,Drug
topical skineal bd x 2/52,"ketoconazole, clobetasol propionate, neomycin sulfate",Drug
TABS LABETALOL 200MG STAT.,labetalol,Drug
BIOCOTEN CREAM,clotrimazole /  gentamicin / dexamethasone,Drug
TAB LOSARTAN 50MG BD FOR 1/12,losartan,Drug
caps vitamin A 1 DAILY X 2/52,vitamin A,Drug
TABS COCODAMOL  1 TDS X 3 DAYS,acetaminophen / codeine phosphate,Drug
cimitdine tab   400mg  8hrly x 2 weeks,cimetidine,Drug
5% D/W 290ml + 290mg quinine + 3ccbco over 4hours 8 hourly X 3doses,"glucose, quinine sulfate, vitamin B complex",Drug
iv mannitol 250mls over 30mins 8hrly x 24 hrs,mannitol,Drug
TABS FLUCONAZOLE 50MG DLY X 1 WEEK.,fluconazole,Drug
tab azithromycin 1g stat.,azithromycin,Drug
CAPS VITAMIN A 10000IU DLY X1/12,vitamin A palmitate,Drug
Clotrimazole 1% cream apply BD x 1/52,clotrimazole,Drug
ct tabs metformin 1g bd,metformin,Drug
"Tabs Orphesic ii bd x 5/7, tabs gabapentin 300mg bd 1/52, then 300mg dly x 2/52.",gabapentin,Drug
tabs meloxicam 7.5mg daily x5days.,meloxicam,Drug
ACTRAPID INSULIN NOT AVAILABLE,"insulin, regular, human",Drug
Tabs Azithromycin 500mg bd x 2/52,azithromycin,Drug
TAB STUGERON 50MG BD,cinnarizine,Drug
Tab Folic acid 5mg OD x 10/7,folic acid,Drug
Sc Lantus 12i.u nocte,insulin glargine,Drug
IV HYOSCINE 10MG 8HRLY,hyoscyamine,Drug
calcium carbonate 600 MG / cholecalciferol 125 UNT Oral Tablet,calcium carbonate / cholecalciferol,Drug
syr coflin 10mls 8hrly x 5/7,dextromethorphan hydrobromide / guaifenesin,Drug
SYRUP ASTYMIN 10MLS BD X 1/52,ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin a / vitamin b12 / vitamin b6 / vitamin e,Drug
klovinal suppository i nocte x 5/7,clotrimazole / metronidazole / Lactobacillus acidophilus,Drug
TABS FILGRATIS 1 B.D. X 30/7,filgrastim,Drug
ab ofloxacin 200 mg dly 5/7,ofloxacin,Drug
10 ML chromic chloride 0.004 MG/ML Injection,chromic chloride,Drug
omega-3 carboxylic acids 1000 MG Oral Capsule,omega-3 carboxylic acids,Drug
collomac solution,salicylic acid,Drug
syp Astymin 10mls tds x 1/12,ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin a / vitamin b12 / vitamin b6 / vitamin e,Drug
Tab fansider 3 stat after Amartem,pyrimethamine / sulfadoxine,Drug
Galvus Met 50/1000,"Metformin, Vildagliptin",Drug
s/c lantos 26units at night,insulin glargine,Drug
tabcocodamol 1 bd 3/7,acetaminophen / codeine phosphate,Drug
tab cetirizine 10 mg dly 3/7,cetirizine,Drug
TABS DPAL FORTE 2-2,".alpha.-dihydroartemisinin
",Drug
rabenprazole,rabeprazole,Drug
Tabs Modiuretic 1 daily x 1/52,amiloride hydrochloride / hydrochlorothiazide,Drug
SIRDALUD  2MG NOCTE,tizanidine,Drug
livolyn,egg yolk phospholipids,Drug
ORS: TAB ZINC 10 MG DLY 10/7,"glucose, potassium chloride, sodium chloride",Drug
sublingual misoprostol 400mcg bd x3/7;,misoprostol,Drug
cocodamol 30/500mg 1,acetaminophen / codeine phosphate,Drug
Tab Ferrous ii bd x 1/52,ferrous sulfate,Drug
blood tonic.,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
TAB FERROUS 200 MG TDS 1/52,ferrous sulfate,Drug
"IVF 5% D/W 500 90mls + 166mg of quinine over 4hours, then 83mg over 4hours 8 hourly x 3 doses","glucose, quinine sulfate, vitamin B complex",Drug
"IV PHENOBARBITONE 220MG STAT, THEN 55MG 12HRLY X 48HRS",phenobarbital,Drug
Tabs Gkucophage 500mg bd x 2/52,metformin,Drug
cream calamine lotion,calamine,Drug
TABS GLUCOPHAGE 500MG BD X 3/52,metformin,Drug
syr hemoforce 10mls bd x 1/12,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
Tramadol 50mg nocte for 2 weeks,tramadol hydrochloride,Drug
rotavirus vaccine,rotavirus vaccine,Drug
tab df118 30mg bd  x 5 days,dihydrocodeine,Drug
METFORMIN 500MG BD X1 MONTH,metformin,Drug
tabs lamivudine 300mg dly,lamivudine,Drug
iv mannitol 250mg 8hrly x 48hrs,mannitol,Drug
routine ANC drugs x 2/52 at an EGA of 37 weeks,ascorbic acid / ferrous sulfate / folic acid,Drug
tab amitriptyline 25mg nocte x 2/7,amitriptyline hydrochloride,Drug
im  arthemeter 50mg+pcm 150mg +plasil 5mg sta,"acetaminophen, artemether, metoclopramide",Drug
TAB CETIRIZINE 10 MG DLY 1/52,cetirizine,Drug
Tab P-alaxin III dly *3/7; Tab Vit BCO II BD*5/7,".alpha.-dihydroartemisinin
",Drug
chondroitin sulfate A sodium 600 MG / glucosamine sulfate 750 MG Oral Tablet,"chondroitin sulfates, glucosamine hydrochloride",Drug
Coveram,amlodipine / perindopril arginine,Drug
Tabs Metformin 500mg tds - 2/52,metformin,Drug
tab penicillin v 125mg bd x 1/12,penicillin V,Drug
tab norflex 1 nocte *3/7,orphenadrine,Drug
Acyclor plus,"acetaminophen, aceclofenac",Drug
"Rabeprazole,",rabeprazole,Drug
Cotrimazole Vaginal Pessaries 1 noctre X 1/52,clotrimazole,Drug
Tab Folic aciid 1 dly x 2/52,folic acid,Drug
azithromycin 5oomg,azithromycin,Drug
Indapamide 2.5mg,indapamide,Drug
tab camosunate 1 b.d x 3/7,"Artesunate, Amodiaquine",Drug
FOR TT2  INJ TODAY,"tetanus toxoid vaccine, inactivated",Drug
TAB KOTASE 1`1T.D.S X2/52,chymotrypsin,Drug
tab hct 25mg bd x 2/52,hydrochlorothiazide,Drug
"syrup rhinathiol 5mls bd x 5/7, syrup amoxil 5mls tds x 5/7, syrup pcm 5mls tds x 5/7",carbocysteine,Drug
iv buscopan 20mg 12hrly x 24hours,hyoscyamine,Drug
IM HYOSEINE,hyoscyamine,Drug
simethicone 125 MG Oral Tablet,simethicone,Drug
"Tabs Arthrotec 75mg bd for 1/52, Tabs PCM 1g tds for 5/7",diclofenac sodium / misoprostol,Drug
Tab Pregabalin 75mg BD x 2/52,pregabalin,Drug
enterogermina 1 dly x 3/7;,bacillus clausii,Drug
tenus toxoid injection 2,"tetanus toxoid vaccine, inactivated",Drug
syrup cimetidine 200mg(5ml) bd x 5/7,cimetidine,Drug
tabs tetracycline ii stat,tetracycline,Drug
caps ferrotone 1 b.d *1/12,folic acid / heme iron polypeptide / polysaccharide iron complex / vitamin b12,Drug
susp 10mls bd x 1/52.  tab omeprazole 20mg bd x 1/52.,aluminum hydroxide / magnesium trisilicate,Drug
10% D/W 500ml + 600mg quinine + 5ccbco over 4 hours 8 hourly X 4 doses,"glucose, quinine sulfate, vitamin B complex",Drug
"camosunate paediatrics dly x 3/7, syrup ibuprofen 2.5mls tds x 5/7,syrup Amoxil 2.5mls bd x 1/52","Artesunate, Amodiaquine",Drug
Tabs. Sirdalude 4mg nocte,tizanidine,Drug
Tab Ferrotone 1 b.d,folic acid / heme iron polypeptide / polysaccharide iron complex / vitamin b12,Drug
ducolax suppository I bd - 1/52,bisacodyl,Drug
"tab doxycycline 100mg bd x 1/52, tab ofloxacin 400mg dly x 1/52",ofloxacin,Drug
nebulization with 5mg salbutamol with oxygen prn,albuterol,Drug
tab aldoctonne 25mg daily x 1/52,spironolactone,Drug
IV TRANEXAMIC ACID 500MG STAT,tranexamic acid,Drug
GUTT OFLOXACIN QID X 2/52,ofloxacin,Drug
tab folic acid 5mg x 1/12..,folic acid,Drug
tab sirdalud 4mg b.d x  1/52,tizanidine,Drug
1. sc insulin 16iu tds with meal,insulin,Drug
"tab pcm 500mg tds x 3/7, tab zentel 400mg stat.",albendazole,Drug
Tab Aldomet 250mg 8hrly x 1/52,methyldopa,Drug
tab fluconazle 150mg stat,fluconazole,Drug
tabs aldomet  250mg b.dx 2weeks,methyldopa,Drug
NEBULIZE WITH 2.5MG OF SALBUTAMOL AND 2.5ML OF NS X 2 DOSES 5 MINS APART,"albuterol, sodium chloride",Drug
Tabs fesllate ii bd x 1/12,ferrous sulfate,Drug
10% D/W 250ml + 130mg quinine + 2ml Bco,"glucose, quinine sulfate, vitamin B complex",Drug
tab unienzyme 11 bd 2/52,activated charcoal / papain,Drug
Tabs Chymoral 1 daily  x 5/7,chymotrypsin,Drug
Influx 5%  D/S 500mls + 3cc Vitamin B complex,"glucose, sodium chloride, vitamin B complex",Drug
TABS GLIMEPIRIDE 4MG DLY X 1/52,glimepiride,Drug
TABS SPIRONOLACTONE 12.5MG DLY X 72 HRS,spironolactone,Drug
"Tab ferrotone 1 daily x 2/52, Tab vit c 200mg tds x2/52.",folic acid / heme iron polypeptide / polysaccharide iron complex / vitamin b12,Drug
Tabs Metformin 500mg a.m then 1G nocte x 6/52,metformin,Drug
TAB METFORMIN 500MG B.D,metformin,Drug
tab renerve plus 1 bd 2/52 or neurobion 1 bd 2/52,pyridoxine hydrochloride / thiamine hydrochloride / vitamin b12,Drug
Liquid parrafin 10mls nocte x 3/7,paraffin,Drug
TAB CIMITIDINE 400MG,cimetidine hydrochloride,Drug
IV Amikacin 50mg dly,amikacin,Drug
Tab Omeprazole 20mg b.d x 2/52  Susp MMT 10ml t.d.s x 1/52,aluminum hydroxide / magnesium trisilicate,Drug
folic acid 1 MG / heme iron polypeptide 6 MG / polysaccharide iron complex 22 MG / vitamin B12 0.025 MG Oral Tablet,folic acid / heme iron polypeptide / polysaccharide iron complex / vitamin b12,Drug
Nebulise with 5mg Salbutamol + 0.5mg of Ipratropium x 1 dose,albuterol / ipratropium bromide,Drug
Tab chymoral 2 bd for 3/7,chymotrypsin,Drug
OPTICHROME QID LE,cromolyn sodium,Drug
caps ferotone1dlyx4weeks,folic acid / heme iron polypeptide / polysaccharide iron complex / vitamin b12,Drug
Dequadine 1qds x 5/7;,dequalinium chloride,Drug
tab pcm + orphenadrine 11 tds x5/7',"orphenadrine citrate, acetaminophen",Drug
Calamine lotion CR003,calamine,Drug
IV PHENOBARBITOL 13MG STAT,phenobarbital,Drug
supp. ducolax 1 bd x 2/7,bisacodyl,Drug
comepryl 2/500,"metformin hydrochloride, glimepiride",Drug
tab vit d 2000 iu x 1/12,vitamin D,Drug
IV PHENOBARBITONE 30MG/KG 6HRLY X24HRS,phenobarbital,Drug
tab co-approvel 1dly 1/12,hydrochlorothiazide / irbesartan,Drug
MMT SYR  5CC TDS X5DAY,aluminum hydroxide / magnesium trisilicate,Drug
SYRUP antitussive 7.5mls BD X 1/52,dextromethorphan hydrobromide / phenylephrine hydrochloride,Drug
IV  TRAMADOL 50 MG STAT : 50 MG IN IVF PRN,tramadol hydrochloride,Drug
Caps Astyfer 1 dly 2/52,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
Neurogesic cream bd x 5/7,methyl salicylate,Drug
tabs aldomet  500mg b.b x 4weeks,methyldopa,Drug
neurogelsic cream;,methyl salicylate,Drug
sirdalud 1 daily * 1/52,tizanidine,Drug
Tab moduretic 1 dly 1/12:;,amiloride hydrochloride / hydrochlorothiazide,Drug
syrup p alaxin 25mls daily x 3/7,".alpha.-dihydroartemisinin
",Drug
TABS ALPHABETIC I DLY X2/52,ascorbic acid / cholecalciferol / niacin / riboflavin / sodium fluoride / thiamine / vitamin a / vitamin b12 / vitamin b6 / vitamin e,Drug
tab slo k 600mg,potassium chloride,Drug
caps ferotone  1 dly x 4weks,folic acid / heme iron polypeptide / polysaccharide iron complex / vitamin b12,Drug
TAB REGACAM,tenoxicam,Drug
Nystatin Powder,nystatin,Drug
Tab Buscopan 10ng bd x 3/7,hyoscyamine,Drug
syr albendazole 10 mls stat;,albendazole,Drug
benadryl gel PRN tab benadryl 25mg tds x5/7. tab arthrotec 75mg bd x 5/7,diphenhydramine citrate,Drug
iv quinine in 10% DW,quinine,Drug
IM [PENT 30 MG STAT: IM PROMETH 25 MG STAT,"pentazocine, promethazine",Drug
tab losartan 50mg dly x 2/52,losartan,Drug
Tab Daonil 5 mg dly x 1/52,Glibenclamide,Drug
discharge on oral pregabalin earlier prescribed,pregabalin,Drug
im artemether 30mg + im plasil 5mg + im pcm 80mg stat,"acetaminophen, artemether, metoclopramide",Drug
Tab ALDOMET 250MG T.DSX10/7,methyldopa,Drug
KIV INO2 5L/MIN OVER 4 HOURS IF DYSPNOEA WORSENS,oxygen / inhalation,Drug
Erythromycin eye ointment 3-4 times daily x 1/52,erythromycin,Drug
tab folic acid 1 daily x 1/52.,folic acid,Drug
IM tetanus 0.25mls,"tetanus toxoid vaccine, inactivated",Drug
tabs Buscopan i bd x 3/7,hyoscyamine,Drug
Tabs arthrotec 75mg b.d for 2/52,diclofenac sodium / misoprostol,Drug
TAB BISOPROLOL 2.5MGDLY X1/12,bisoprolol,Drug
5% D/W 250ml + 250mg quinine + 3ccbco over 4 hours 8hourly X 3 doses,"glucose, quinine sulfate, vitamin B complex",Drug
syrup marcfix 4mls bd for 1 week,"cefixime, clavulanic acid",Drug
TABS IVERMECTIN 4 TABS STAT,ivermectin,Drug
tab df118 15mg tds 1/52,dihydrocodeine,Drug
tab ocefix 400mg daily x 5/7.,cefixime,Drug
iv tramadol 50mg bd,tramadol hydrochloride,Drug
ketoconazole 200mg bd x,ketoconazole,Drug
tab motilium i bd,domperidone,Drug
ATRIVINE NASAL 1TDS X,xylometazoline,Drug
IVF 5% D/S 200mls + IV Quinine 200mg over 4 hours then IVF 5% D/S 200mls + IV Quinine 100mg over 4 hours 8 hrly x 4 doses,quinine,Drug
Tab L-floxacin 500mg dly X 10/7,levofloxacin,Drug
TAB DOXYCYCLINE 100MG BD X 5/7,doxycycline,Drug
TABS PCM/CEFFINE,acetaminophen / caffeine,Drug
HYOSCINE,hyoscyamine,Drug
oral folic acid 2.5mg daily x1/52,folic acid,Drug
nebulization with 1mg salbutamol,albuterol,Drug
im arthemeter 160mg stat + im pcm 600mg stat + im plasil 5mg stat,"acetaminophen, artemether, metoclopramide",Drug
celecoxib,celecoxib,Drug
Tab Lanzoprazole 15mg bd x 1/52,lansoprazole,Drug
SC ATS 1500IU stat after a negative test dose,"tetanus immune globulin, human",Drug
Tabs Cognitol i dly x 2/52,vinpocetine,Drug
anusol suppository i nocte x 2/7,zinc sulfate monohydrate,Drug
NEB WITH SALBUTAMOL 5MG STAT,albuterol,Drug
sublingual nitroglycerin 1 every 5min * 3 doses,nitroglycerin,Drug
tabs vasoprin 75mg  daily  x 1month,aspirin,Drug
tab pcm + orphenadrine 11 tds x5/7;;,"orphenadrine citrate, acetaminophen",Drug
IN02 @ 1l/min,oxygen / inhalation,Drug
IV PHENOBARBITONE 200MG STAT IN EQUAL DILUTION PRN,phenobarbital,Drug
xylocaine gel,lidocaine hydrochloride,Drug
syr amoxyl 7mls tds x5/7,amoxicillin sodium,Drug
Tabs neurobion 1 bd x5days.,pyridoxine hydrochloride / thiamine hydrochloride / vitamin b12,Drug
Tab Cimetidine 400mg bd x 1/52,cimetidine,Drug
nebulize with 5mg of salbutamol 3 doses 15 mins apart,albuterol,Drug
Tabs vitamin a 25000 IU daily for 1/52,vitamin A,Drug
IV Quinine 520 mg in 1VF 10% D/W 250mls + 3 cc Vit B co over 4 hours then 1VF 5% D/S 250 mls over 4 hours then ( IV Quinine 260 mg in IVF 250mls 5% D/W + 1.5 cc Vit B co over 4 hours then IVF 5% D/S 250 mls over 4 hours) x 2 doses,"glucose, quinine sulfate, vitamin B complex",Drug
twinrix vaccine,hepatitis a vaccine (inactivated) strain hm175 / hepatitis b surface antigen vaccine,Drug
"tab sirdalud 4mg bd * 1/52, tab orphesic 2 bd * 5/7","orphenadrine citrate, acetaminophen",Drug
nebulize with 5mg of salbutamol 6hrly,albuterol,Drug
Sc insulin 6IU when Blood sugar more than 150 TDS,insulin,Drug
flucloxacillin 500mg qds x open,floxacillin,Drug
TAB DOXYCAP 100MG BD X 1/52,doxycycline,Drug
IV 4.3% D/S 500ml + 3cc vitamin B complex slowly,"glucose, sodium chloride, vitamin B complex",Drug
tab buscopan 10mg stat.,hyoscyamine,Drug
antikoch,"isoniazid, pyrazinamide, rifampin, ethambutol",Drug
IV insulin 10 IU,insulin,Drug
TAB DAONIL 5mg b.d,Glibenclamide,Drug
IM Pentazocine 60mg Stat + Im promethazine 25 mg Stat:,"pentazocine, promethazine",Drug
vitamin a oral.,vitamin A,Drug
GUTT MYDRACY NOCTE RE,tropicamide,Drug
Wosan (povidone ointment) OTH301,povidone,Drug
vaginal clindamycin nocte x 5/7,clindamycin,Drug
anusol suppository i bd for 2 wks,zinc sulfate monohydrate,Drug
ENSURE IN O2 AT 2L/MIN PLEASE,oxygen / inhalation,Drug
tab buscopan 10md  bd x 2/7,hyoscyamine,Drug
Co-Mepiryl,"metformin hydrochloride, glimepiride",Drug
tab salbutamol 4mg bd x 2/7,albuterol,Drug
Tab Glibenclamide 5mg dly x 10/7,Glibenclamide,Drug
tab cocdamol 500/8 ii bd x 2/52,acetaminophen / codeine phosphate,Drug
COMMENCE ANTIKOCHS,"isoniazid, pyrazinamide, rifampin, ethambutol",Drug
Tab Folic acid I dly x 1/12,folic acid,Drug
ABS FESOLATE 200MG BDX 1/52,ferrous sulfate,Drug
Gutt xalatan RE,latanoprost,Drug
tab rosuvastatin 10mg nocte,rosuvastatin,Drug
TABS VASOPRIN 150MG STAT,aspirin,Drug
otrivin  nasal drop 2 drops dly,xylometazoline,Drug
IV Oxytocin 40iu in 500mls of N/saline,oxytocin,Drug
syrup Ferrous 5mls daily x 2/52,ferrous sulfate,Drug
"tab amlodipine 10mg daily * 1/12, tab aldomet 250mg bd * 1/12",methyldopa,Drug
Chloramphenicol eyedrops qds x 5/7 ( to both eyes),chloramphenicol,Drug
Tabs Metformin 1g bd x 1/12,metformin,Drug
140ml of ORS per loose stool.           Tab Zinc 20mg daily x 10/7           Liberal oral intake,"glucose, potassium chloride, sodium chloride",Drug
tab lomotil 2tabs tds for 5days,loperamide,Drug
IV 500ML 10% D/W + 10MMOL KCL + 10IU SOLUBLE INSULIN TO RUN OVER 5HRS,insulin,Drug
IV Aminophyline 250mg slowly over 30mins,aminophylline,Drug
TAB ACECLOFENAC 100MG BD X 2/52,aceclofenac,Drug
TAB AMYTRYPTYLINE 25MG NOCTE FOR 1/52,amitriptyline hydrochloride,Drug
iv actrapid 10iu every hour till rbs is less than or equal to 13mmol/l,"insulin, regular, human",Drug
ferrous fumarate 75 MG Oral Tablet,ferrous fumarate,Drug
5% D/W 220ml + 220mg quinine + 3ccbco over 4 hours 8 hourly X 3 doses,"glucose, quinine sulfate, vitamin B complex",Drug
Tab Moduretic 1 tab OD x 1/12,amiloride hydrochloride / hydrochlorothiazide,Drug
2 ML vitamin A 50000 UNT/ML Injection,vitamin A,Drug
IVF 20% MANITTOL 350ML 8HRY X 48HRS,mannitol,Drug
benzoyl benzoate,benzyl benzoate,Drug
methotrexate 10 MG Oral Tablet,methotrexate sodium,Drug
Nasal packing with gauze soaked in epinephrine,epinephrine,Drug
IM TT 0.5mls stat  IM PCM 450mg stat  syrup fleming 5mls bd x 10/7,"tetanus toxoid vaccine, inactivated",Drug
iv aminophylline 6mls slowly over 15mins,aminophylline,Drug
syrup zithromax 2.5mls bd x 5/7,azithromycin,Drug
camosunate (adult) II bd x 3/7 + tab pcm 1g tds x 3/7 + diclofenac 50mg bd x 5/7 + fleming 625mg bd x 5/7,"Artesunate, Amodiaquine",Drug
tab neurovite I BD *5/7,pyridoxine hydrochloride / thiamine hydrochloride / vitamin b12,Drug
tab propanolol 20mg dly x 2/52,propranolol,Drug
nebulise with 2.5mg salbutamol stat,albuterol,Drug
ORS*2:,"glucose, potassium chloride, sodium chloride",Drug
TAB REMAL 3-3-3: TAB PCM 1 GTDS 3/7,".alpha.-dihydroartemisinin
",Drug
Tab Glimepiride 4mg daily x 1/12,glimepiride,Drug
tab stemetil,prochlorperazine,Drug
tab diamox 28,acetazolamide,Drug
